rank, configurations,google pixel format, model format, energy_efficiency estimated
607,111101-2-3,[1- 1- 1- 1- 0- 1- 2- 3],0-1-1-1-1-0-1-2-3,13828536836.86441
608,003303-3-2,[0- 0- 3- 3- 0- 3- 3- 2],2-0-0-1-1-0-1-3-2,13825160556.65903
609,222022-1-3,[2- 2- 2- 0- 2- 2- 1- 3],1-1-1-1-0-1-1-1-3,13823818751.939533
610,330330-2-2,[3- 3- 0- 3- 3- 0- 2- 2],2-1-1-0-1-1-0-2-2,13823447541.05349
611,202220-1-2,[2- 0- 2- 2- 2- 0- 1- 2],1-1-0-1-1-1-0-1-2,13821784783.65385
612,020022-3-0,[0- 2- 0- 0- 2- 2- 3- 0],1-0-1-0-0-1-1-3-0,13819199533.382486
613,002200-2-2,[0- 0- 2- 2- 0- 0- 2- 2],1-0-0-1-1-0-0-2-2,13817973119.031794
614,300330-2-2,[3- 0- 0- 3- 3- 0- 2- 2],2-1-0-0-1-1-0-2-2,13817432531.008173
615,000333-3-3,[0- 0- 0- 3- 3- 3- 3- 3],2-0-0-0-1-1-1-3-3,13817083519.187317
616,033003-3-2,[0- 3- 3- 0- 0- 3- 3- 2],2-0-1-1-0-0-1-3-2,13815263404.643394
617,011101-1-2,[0- 1- 1- 1- 0- 1- 1- 2],0-0-1-1-1-0-1-1-2,13814707531.10525
618,200022-3-1,[2- 0- 0- 0- 2- 2- 3- 1],1-1-0-0-0-1-1-3-1,13813986938.899319
619,202002-3-3,[2- 0- 2- 0- 0- 2- 3- 3],1-1-0-1-0-0-1-3-3,13808092837.427692
620,222222-0-3,[2- 2- 2- 2- 2- 2- 0- 3],1-1-1-1-1-1-1-0-3,13801364396.799053
621,333033-1-3,[3- 3- 3- 0- 3- 3- 1- 3],2-1-1-1-0-1-1-1-3,13801202553.30846
622,101001-2-2,[1- 0- 1- 0- 0- 1- 2- 2],0-1-0-1-0-0-1-2-2,13800026958.091105
623,220200-2-1,[2- 2- 0- 2- 0- 0- 2- 1],1-1-1-0-1-0-0-2-1,13799803583.708418
624,111111-0-2,[1- 1- 1- 1- 1- 1- 0- 2],0-1-1-1-1-1-1-0-2,13795523703.813473
625,303003-3-2,[3- 0- 3- 0- 0- 3- 3- 2],2-1-0-1-0-0-1-3-2,13792871249.113209
626,002022-1-1,[0- 0- 2- 0- 2- 2- 1- 1],1-0-0-1-0-1-1-1-1,13791214105.189571
627,202222-0-1,[2- 0- 2- 2- 2- 2- 0- 1],1-1-0-1-1-1-1-0-1,13790561748.426212
628,200022-2-3,[2- 0- 0- 0- 2- 2- 2- 3],1-1-0-0-0-1-1-2-3,13790402873.27747
629,000010-2-3,[0- 0- 0- 0- 1- 0- 2- 3],0-0-0-0-0-1-0-2-3,13790217353.71091
630,300033-1-2,[3- 0- 0- 0- 3- 3- 1- 2],2-1-0-0-0-1-1-1-2,13788972310.818188
631,030303-3-1,[0- 3- 0- 3- 0- 3- 3- 1],2-0-1-0-1-0-1-3-1,13787190944.202618
632,020202-2-3,[0- 2- 0- 2- 0- 2- 2- 3],1-0-1-0-1-0-1-2-3,13787068601.304823
633,202020-2-1,[2- 0- 2- 0- 2- 0- 2- 1],1-1-0-1-0-1-0-2-1,13781969142.04177
634,110010-2-1,[1- 1- 0- 0- 1- 0- 2- 1],0-1-1-0-0-1-0-2-1,13780401921.063702
635,200022-3-2,[2- 0- 0- 0- 2- 2- 3- 2],1-1-0-0-0-1-1-3-2,13780264368.019146
636,033333-0-2,[0- 3- 3- 3- 3- 3- 0- 2],2-0-1-1-1-1-1-0-2,13775402077.28271
637,100000-2-2,[1- 0- 0- 0- 0- 0- 2- 2],0-1-0-0-0-0-0-2-2,13775299589.197842
638,000111-2-2,[0- 0- 0- 1- 1- 1- 2- 2],0-0-0-0-1-1-1-2-2,13774417953.120111
639,011000-2-2,[0- 1- 1- 0- 0- 0- 2- 2],0-0-1-1-0-0-0-2-2,13771540766.402264
640,222220-2-0,[2- 2- 2- 2- 2- 0- 2- 0],1-1-1-1-1-1-0-2-0,13770690585.682308
641,033303-3-0,[0- 3- 3- 3- 0- 3- 3- 0],2-0-1-1-1-0-1-3-0,13767248884.275446
642,033333-1-3,[0- 3- 3- 3- 3- 3- 1- 3],2-0-1-1-1-1-1-1-3,13767203080.735874
643,022202-0-2,[0- 2- 2- 2- 0- 2- 0- 2],1-0-1-1-1-0-1-0-2,13765212739.239145
644,010101-2-2,[0- 1- 0- 1- 0- 1- 2- 2],0-0-1-0-1-0-1-2-2,13764145702.179226
645,300033-1-1,[3- 0- 0- 0- 3- 3- 1- 1],2-1-0-0-0-1-1-1-1,13764118967.345284
646,111110-1-1,[1- 1- 1- 1- 1- 0- 1- 1],0-1-1-1-1-1-0-1-1,13762990146.816444
647,000110-1-2,[0- 0- 0- 1- 1- 0- 1- 2],0-0-0-0-1-1-0-1-2,13762061939.7214
648,002202-3-3,[0- 0- 2- 2- 0- 2- 3- 3],1-0-0-1-1-0-1-3-3,13761204361.56757
649,222000-2-2,[2- 2- 2- 0- 0- 0- 2- 2],1-1-1-1-0-0-0-2-2,13760939014.629616
650,300033-3-0,[3- 0- 0- 0- 3- 3- 3- 0],2-1-0-0-0-1-1-3-0,13758992253.815472
651,000101-2-2,[0- 0- 0- 1- 0- 1- 2- 2],0-0-0-0-1-0-1-2-2,13757765513.712654
652,303300-2-1,[3- 0- 3- 3- 0- 0- 2- 1],2-1-0-1-1-0-0-2-1,13757365562.580578
653,330333-0-2,[3- 3- 0- 3- 3- 3- 0- 2],2-1-1-0-1-1-1-0-2,13755829707.23472
654,200202-3-3,[2- 0- 0- 2- 0- 2- 3- 3],1-1-0-0-1-0-1-3-3,13752402844.027317
655,202222-1-0,[2- 0- 2- 2- 2- 2- 1- 0],1-1-0-1-1-1-1-1-0,13751506540.641464
656,333000-2-2,[3- 3- 3- 0- 0- 0- 2- 2],2-1-1-1-0-0-0-2-2,13751448592.938503
657,030033-2-0,[0- 3- 0- 0- 3- 3- 2- 0],2-0-1-0-0-1-1-2-0,13751178058.334608
658,030033-2-3,[0- 3- 0- 0- 3- 3- 2- 3],2-0-1-0-0-1-1-2-3,13751090897.004086
659,220002-3-2,[2- 2- 0- 0- 0- 2- 3- 2],1-1-1-0-0-0-1-3-2,13749179817.07706
660,001011-2-1,[0- 0- 1- 0- 1- 1- 2- 1],0-0-0-1-0-1-1-2-1,13747107115.465786
661,333330-3-3,[3- 3- 3- 3- 3- 0- 3- 3],2-1-1-1-1-1-0-3-3,13743249422.114365
662,303330-3-3,[3- 0- 3- 3- 3- 0- 3- 3],2-1-0-1-1-1-0-3-3,13742877798.656239
663,022022-0-2,[0- 2- 2- 0- 2- 2- 0- 2],1-0-1-1-0-1-1-0-2,13741398750.922205
664,020222-0-2,[0- 2- 0- 2- 2- 2- 0- 2],1-0-1-0-1-1-1-0-2,13741227038.613825
665,333300-1-1,[3- 3- 3- 3- 0- 0- 1- 1],2-1-1-1-1-0-0-1-1,13739706452.449566
666,110111-1-1,[1- 1- 0- 1- 1- 1- 1- 1],0-1-1-0-1-1-1-1-1,13735296347.123375
667,010011-2-1,[0- 1- 0- 0- 1- 1- 2- 1],0-0-1-0-0-1-1-2-1,13733853951.963223
668,002222-3-3,[0- 0- 2- 2- 2- 2- 3- 3],1-0-0-1-1-1-1-3-3,13733778675.95915
669,220200-2-2,[2- 2- 0- 2- 0- 0- 2- 2],1-1-1-0-1-0-0-2-2,13732446674.636726
670,011101-1-1,[0- 1- 1- 1- 0- 1- 1- 1],0-0-1-1-1-0-1-1-1,13731084167.534115
671,200202-1-2,[2- 0- 0- 2- 0- 2- 1- 2],1-1-0-0-1-0-1-1-2,13730588395.49101
672,220002-3-3,[2- 2- 0- 0- 0- 2- 3- 3],1-1-1-0-0-0-1-3-3,13729406193.894354
673,111000-2-2,[1- 1- 1- 0- 0- 0- 2- 2],0-1-1-1-0-0-0-2-2,13724992543.38551
674,110001-2-2,[1- 1- 0- 0- 0- 1- 2- 2],0-1-1-0-0-0-1-2-2,13724901461.829784
675,101100-2-1,[1- 0- 1- 1- 0- 0- 2- 1],0-1-0-1-1-0-0-2-1,13724687528.1907
676,000022-1-2,[0- 0- 0- 0- 2- 2- 1- 2],1-0-0-0-0-1-1-1-2,13724334359.650188
677,100101-2-2,[1- 0- 0- 1- 0- 1- 2- 2],0-1-0-0-1-0-1-2-2,13721782764.645105
678,000222-1-1,[0- 0- 0- 2- 2- 2- 1- 1],1-0-0-0-1-1-1-1-1,13721721267.980495
679,011011-1-1,[0- 1- 1- 0- 1- 1- 1- 1],0-0-1-1-0-1-1-1-1,13719317704.60107
680,100110-2-3,[1- 0- 0- 1- 1- 0- 2- 3],0-1-0-0-1-1-0-2-3,13716033418.10115
681,033003-3-1,[0- 3- 3- 0- 0- 3- 3- 1],2-0-1-1-0-0-1-3-1,13714194117.082226
682,022002-2-3,[0- 2- 2- 0- 0- 2- 2- 3],1-0-1-1-0-0-1-2-3,13711366137.240782
683,200202-1-1,[2- 0- 0- 2- 0- 2- 1- 1],1-1-0-0-1-0-1-1-1,13711150667.163845
684,202202-3-0,[2- 0- 2- 2- 0- 2- 3- 0],1-1-0-1-1-0-1-3-0,13706969480.497051
685,001100-2-1,[0- 0- 1- 1- 0- 0- 2- 1],0-0-0-1-1-0-0-2-1,13703818500.025755
686,333003-0-1,[3- 3- 3- 0- 0- 3- 0- 1],2-1-1-1-0-0-1-0-1,13703216485.217115
687,303003-3-3,[3- 0- 3- 0- 0- 3- 3- 3],2-1-0-1-0-0-1-3-3,13702102667.288162
688,220202-3-0,[2- 2- 0- 2- 0- 2- 3- 0],1-1-1-0-1-0-1-3-0,13701996857.873547
689,300303-3-3,[3- 0- 0- 3- 0- 3- 3- 3],2-1-0-0-1-0-1-3-3,13699779951.71904
690,100011-2-1,[1- 0- 0- 0- 1- 1- 2- 1],0-1-0-0-0-1-1-2-1,13698612338.304333
691,011111-0-2,[0- 1- 1- 1- 1- 1- 0- 2],0-0-1-1-1-1-1-0-2,13697292826.36947
692,010001-2-2,[0- 1- 0- 0- 0- 1- 2- 2],0-0-1-0-0-0-1-2-2,13696163584.205082
693,101010-2-1,[1- 0- 1- 0- 1- 0- 2- 1],0-1-0-1-0-1-0-2-1,13695921328.02261
694,303003-3-1,[3- 0- 3- 0- 0- 3- 3- 1],2-1-0-1-0-0-1-3-1,13694601938.104288
695,002202-2-3,[0- 0- 2- 2- 0- 2- 2- 3],1-0-0-1-1-0-1-2-3,13687239098.846668
696,001111-1-1,[0- 0- 1- 1- 1- 1- 1- 1],0-0-0-1-1-1-1-1-1,13686819622.170757
697,033330-2-1,[0- 3- 3- 3- 3- 0- 2- 1],2-0-1-1-1-1-0-2-1,13685688025.487776
698,000110-2-3,[0- 0- 0- 1- 1- 0- 2- 3],0-0-0-0-1-1-0-2-3,13684514610.737318
699,010100-2-2,[0- 1- 0- 1- 0- 0- 2- 2],0-0-1-0-1-0-0-2-2,13682146367.614475
700,030003-2-1,[0- 3- 0- 0- 0- 3- 2- 1],2-0-1-0-0-0-1-2-1,13681460988.00802
701,101101-3-3,[1- 0- 1- 1- 0- 1- 3- 3],0-1-0-1-1-0-1-3-3,13676335426.784931
702,200202-3-2,[2- 0- 0- 2- 0- 2- 3- 2],1-1-0-0-1-0-1-3-2,13674767652.859325
703,002202-3-1,[0- 0- 2- 2- 0- 2- 3- 1],1-0-0-1-1-0-1-3-1,13671388266.369564
704,222020-1-1,[2- 2- 2- 0- 2- 0- 1- 1],1-1-1-1-0-1-0-1-1,13670732249.49044
705,002220-1-2,[0- 0- 2- 2- 2- 0- 1- 2],1-0-0-1-1-1-0-1-2,13668573062.642073
706,111001-2-3,[1- 1- 1- 0- 0- 1- 2- 3],0-1-1-1-0-0-1-2-3,13661986609.684187
707,101111-2-0,[1- 0- 1- 1- 1- 1- 2- 0],0-1-0-1-1-1-1-2-0,13661418599.642765
708,011001-3-3,[0- 1- 1- 0- 0- 1- 3- 3],0-0-1-1-0-0-1-3-3,13660978020.943697
709,330030-2-2,[3- 3- 0- 0- 3- 0- 2- 2],2-1-1-0-0-1-0-2-2,13659030089.965176
710,003303-2-3,[0- 0- 3- 3- 0- 3- 2- 3],2-0-0-1-1-0-1-2-3,13658780903.73542
711,002222-3-0,[0- 0- 2- 2- 2- 2- 3- 0],1-0-0-1-1-1-1-3-0,13658542661.281902
712,010110-2-1,[0- 1- 0- 1- 1- 0- 2- 1],0-0-1-0-1-1-0-2-1,13655729632.025082
713,110100-2-2,[1- 1- 0- 1- 0- 0- 2- 2],0-1-1-0-1-0-0-2-2,13654038954.792065
714,100001-2-2,[1- 0- 0- 0- 0- 1- 2- 2],0-1-0-0-0-0-1-2-2,13654021414.755394
715,000010-1-2,[0- 0- 0- 0- 1- 0- 1- 2],0-0-0-0-0-1-0-1-2,13653338714.775978
716,200202-2-3,[2- 0- 0- 2- 0- 2- 2- 3],1-1-0-0-1-0-1-2-3,13652511165.1675
717,111101-3-1,[1- 1- 1- 1- 0- 1- 3- 1],0-1-1-1-1-0-1-3-1,13651534915.727686
718,202002-3-1,[2- 0- 2- 0- 0- 2- 3- 1],1-1-0-1-0-0-1-3-1,13651468303.27647
719,222220-3-3,[2- 2- 2- 2- 2- 0- 3- 3],1-1-1-1-1-1-0-3-3,13651251372.218632
720,020022-3-3,[0- 2- 0- 0- 2- 2- 3- 3],1-0-1-0-0-1-1-3-3,13650470792.414862
721,000222-3-2,[0- 0- 0- 2- 2- 2- 3- 2],1-0-0-0-1-1-1-3-2,13650026222.49313
722,033003-3-3,[0- 3- 3- 0- 0- 3- 3- 3],2-0-1-1-0-0-1-3-3,13649859572.568026
723,000333-3-1,[0- 0- 0- 3- 3- 3- 3- 1],2-0-0-0-1-1-1-3-1,13646389802.251795
724,222220-3-2,[2- 2- 2- 2- 2- 0- 3- 2],1-1-1-1-1-1-0-3-2,13644553071.215038
725,330003-1-2,[3- 3- 0- 0- 0- 3- 1- 2],2-1-1-0-0-0-1-1-2,13642658041.903175
726,330003-3-1,[3- 3- 0- 0- 0- 3- 3- 1],2-1-1-0-0-0-1-3-1,13641590714.172832
727,222020-1-2,[2- 2- 2- 0- 2- 0- 1- 2],1-1-1-1-0-1-0-1-2,13641214032.407452
728,330030-2-1,[3- 3- 0- 0- 3- 0- 2- 1],2-1-1-0-0-1-0-2-1,13639357434.814495
729,000110-2-1,[0- 0- 0- 1- 1- 0- 2- 1],0-0-0-0-1-1-0-2-1,13638900991.596632
730,101111-2-3,[1- 0- 1- 1- 1- 1- 2- 3],0-1-0-1-1-1-1-2-3,13637363395.705975
731,200220-2-3,[2- 0- 0- 2- 2- 0- 2- 3],1-1-0-0-1-1-0-2-3,13636600036.555622
732,222002-0-1,[2- 2- 2- 0- 0- 2- 0- 1],1-1-1-1-0-0-1-0-1,13631906281.291943
733,000002-2-1,[0- 0- 0- 0- 0- 2- 2- 1],1-0-0-0-0-0-1-2-1,13630962854.816938
734,110111-2-0,[1- 1- 0- 1- 1- 1- 2- 0],0-1-1-0-1-1-1-2-0,13630893945.157402
735,220002-3-1,[2- 2- 0- 0- 0- 2- 3- 1],1-1-1-0-0-0-1-3-1,13628714530.604805
736,220002-2-3,[2- 2- 0- 0- 0- 2- 2- 3],1-1-1-0-0-0-1-2-3,13628513363.485151
737,010000-2-2,[0- 1- 0- 0- 0- 0- 2- 2],0-0-1-0-0-0-0-2-2,13627279200.983341
738,101110-2-3,[1- 0- 1- 1- 1- 0- 2- 3],0-1-0-1-1-1-0-2-3,13626580282.947254
739,001010-2-1,[0- 0- 1- 0- 1- 0- 2- 1],0-0-0-1-0-1-0-2-1,13626301752.585554
740,303330-3-2,[3- 0- 3- 3- 3- 0- 3- 2],2-1-0-1-1-1-0-3-2,13625114296.084042
741,030303-2-3,[0- 3- 0- 3- 0- 3- 2- 3],2-0-1-0-1-0-1-2-3,13623690683.147205
742,000303-2-2,[0- 0- 0- 3- 0- 3- 2- 2],2-0-0-0-1-0-1-2-2,13622061189.502678
743,220220-2-3,[2- 2- 0- 2- 2- 0- 2- 3],1-1-1-0-1-1-0-2-3,13620124402.310974
744,030033-3-3,[0- 3- 0- 0- 3- 3- 3- 3],2-0-1-0-0-1-1-3-3,13618344670.057222
745,033300-2-2,[0- 3- 3- 3- 0- 0- 2- 2],2-0-1-1-1-0-0-2-2,13618060207.957333
746,011001-3-2,[0- 1- 1- 0- 0- 1- 3- 2],0-0-1-1-0-0-1-3-2,13617599974.710968
747,220202-0-2,[2- 2- 0- 2- 0- 2- 0- 2],1-1-1-0-1-0-1-0-2,13615756316.00973
748,303003-1-1,[3- 0- 3- 0- 0- 3- 1- 1],2-1-0-1-0-0-1-1-1,13614791898.097206
749,303030-2-1,[3- 0- 3- 0- 3- 0- 2- 1],2-1-0-1-0-1-0-2-1,13613052464.288616
750,003333-3-0,[0- 0- 3- 3- 3- 3- 3- 0],2-0-0-1-1-1-1-3-0,13611803926.473707
751,303303-3-0,[3- 0- 3- 3- 0- 3- 3- 0],2-1-0-1-1-0-1-3-0,13611607372.998167
752,300303-2-3,[3- 0- 0- 3- 0- 3- 2- 3],2-1-0-0-1-0-1-2-3,13610717557.073814
753,303003-2-3,[3- 0- 3- 0- 0- 3- 2- 3],2-1-0-1-0-0-1-2-3,13608622266.440666
754,002022-2-3,[0- 0- 2- 0- 2- 2- 2- 3],1-0-0-1-0-1-1-2-3,13604340467.170506
755,030003-2-2,[0- 3- 0- 0- 0- 3- 2- 2],2-0-1-0-0-0-1-2-2,13601704619.26183
756,010101-2-1,[0- 1- 0- 1- 0- 1- 2- 1],0-0-1-0-1-0-1-2-1,13601605456.471844
757,020202-2-0,[0- 2- 0- 2- 0- 2- 2- 0],1-0-1-0-1-0-1-2-0,13600231227.331753
758,111000-2-1,[1- 1- 1- 0- 0- 0- 2- 1],0-1-1-1-0-0-0-2-1,13599557227.810467
759,300303-3-2,[3- 0- 0- 3- 0- 3- 3- 2],2-1-0-0-1-0-1-3-2,13598553772.104237
760,001010-1-2,[0- 0- 1- 0- 1- 0- 1- 2],0-0-0-1-0-1-0-1-2,13598156719.495508
761,220220-1-2,[2- 2- 0- 2- 2- 0- 1- 2],1-1-1-0-1-1-0-1-2,13598063827.973202
762,003033-3-1,[0- 0- 3- 0- 3- 3- 3- 1],2-0-0-1-0-1-1-3-1,13596904201.902033
763,020222-1-3,[0- 2- 0- 2- 2- 2- 1- 3],1-0-1-0-1-1-1-1-3,13595670960.86034
764,011010-1-2,[0- 1- 1- 0- 1- 0- 1- 2],0-0-1-1-0-1-0-1-2,13595290262.036125
765,303333-1-0,[3- 0- 3- 3- 3- 3- 1- 0],2-1-0-1-1-1-1-1-0,13593481032.827202
766,100110-1-2,[1- 0- 0- 1- 1- 0- 1- 2],0-1-0-0-1-1-0-1-2,13592294060.264858
767,003033-2-3,[0- 0- 3- 0- 3- 3- 2- 3],2-0-0-1-0-1-1-2-3,13591868869.237114
768,010111-1-2,[0- 1- 0- 1- 1- 1- 1- 2],0-0-1-0-1-1-1-1-2,13588129794.383692
769,330330-2-1,[3- 3- 0- 3- 3- 0- 2- 1],2-1-1-0-1-1-0-2-1,13585409414.261045
770,333330-3-2,[3- 3- 3- 3- 3- 0- 3- 2],2-1-1-1-1-1-0-3-2,13584220098.155445
771,100010-2-1,[1- 0- 0- 0- 1- 0- 2- 1],0-1-0-0-0-1-0-2-1,13583299587.99008
772,030330-2-2,[0- 3- 0- 3- 3- 0- 2- 2],2-0-1-0-1-1-0-2-2,13582578296.648052
773,000022-2-3,[0- 0- 0- 0- 2- 2- 2- 3],1-0-0-0-0-1-1-2-3,13582158049.868996
774,303333-0-1,[3- 0- 3- 3- 3- 3- 0- 1],2-1-0-1-1-1-1-0-1,13580938323.490017
775,330303-3-0,[3- 3- 0- 3- 0- 3- 3- 0],2-1-1-0-1-0-1-3-0,13580043472.219675
776,222202-1-3,[2- 2- 2- 2- 0- 2- 1- 3],1-1-1-1-1-0-1-1-3,13579746112.200771
777,020200-2-2,[0- 2- 0- 2- 0- 0- 2- 2],1-0-1-0-1-0-0-2-2,13578718377.797527
778,003033-3-2,[0- 0- 3- 0- 3- 3- 3- 2],2-0-0-1-0-1-1-3-2,13578150526.060932
779,110111-2-3,[1- 1- 0- 1- 1- 1- 2- 3],0-1-1-0-1-1-1-2-3,13577261995.992798
780,022220-1-1,[0- 2- 2- 2- 2- 0- 1- 1],1-0-1-1-1-1-0-1-1,13576023414.51101
781,003003-2-2,[0- 0- 3- 0- 0- 3- 2- 2],2-0-0-1-0-0-1-2-2,13575655541.278633
782,111110-2-3,[1- 1- 1- 1- 1- 0- 2- 3],0-1-1-1-1-1-0-2-3,13574763691.043373
783,000000-2-3,[0- 0- 0- 0- 0- 0- 2- 3],0-0-0-0-0-0-0-2-3,13574756094.733322
784,111101-2-0,[1- 1- 1- 1- 0- 1- 2- 0],0-1-1-1-1-0-1-2-0,13574646515.729515
785,111010-1-2,[1- 1- 1- 0- 1- 0- 1- 2],0-1-1-1-0-1-0-1-2,13572476295.699778
786,011101-3-2,[0- 1- 1- 1- 0- 1- 3- 2],0-0-1-1-1-0-1-3-2,13572274197.378483
787,020002-3-2,[0- 2- 0- 0- 0- 2- 3- 2],1-0-1-0-0-0-1-3-2,13566982867.292519
788,303003-2-0,[3- 0- 3- 0- 0- 3- 2- 0],2-1-0-1-0-0-1-2-0,13566477069.179497
789,330003-3-2,[3- 3- 0- 0- 0- 3- 3- 2],2-1-1-0-0-0-1-3-2,13566046011.339912
790,101000-2-2,[1- 0- 1- 0- 0- 0- 2- 2],0-1-0-1-0-0-0-2-2,13564836801.080711
791,333303-1-3,[3- 3- 3- 3- 0- 3- 1- 3],2-1-1-1-1-0-1-1-3,13564801670.672886
792,002022-3-2,[0- 0- 2- 0- 2- 2- 3- 2],1-0-0-1-0-1-1-3-2,13562704268.934795
793,101101-3-2,[1- 0- 1- 1- 0- 1- 3- 2],0-1-0-1-1-0-1-3-2,13560020835.955914
794,222200-1-2,[2- 2- 2- 2- 0- 0- 1- 2],1-1-1-1-1-0-0-1-2,13559262336.963497
795,002022-3-1,[0- 0- 2- 0- 2- 2- 3- 1],1-0-0-1-0-1-1-3-1,13558045595.188229
796,300033-3-3,[3- 0- 0- 0- 3- 3- 3- 3],2-1-0-0-0-1-1-3-3,13551922284.137482
797,101001-2-1,[1- 0- 1- 0- 0- 1- 2- 1],0-1-0-1-0-0-1-2-1,13549412138.808422
798,300030-2-2,[3- 0- 0- 0- 3- 0- 2- 2],2-1-0-0-0-1-0-2-2,13548389915.86959
799,000222-3-1,[0- 0- 0- 2- 2- 2- 3- 1],1-0-0-0-1-1-1-3-1,13547734258.543667
800,000111-2-1,[0- 0- 0- 1- 1- 1- 2- 1],0-0-0-0-1-1-1-2-1,13546809856.964733
801,333003-1-0,[3- 3- 3- 0- 0- 3- 1- 0],2-1-1-1-0-0-1-1-0,13546469686.462883
802,200022-3-3,[2- 0- 0- 0- 2- 2- 3- 3],1-1-0-0-0-1-1-3-3,13545637667.599857
803,110001-2-1,[1- 1- 0- 0- 0- 1- 2- 1],0-1-1-0-0-0-1-2-1,13541980771.485104
804,110110-1-2,[1- 1- 0- 1- 1- 0- 1- 2],0-1-1-0-1-1-0-1-2,13540265518.614908
805,110000-2-2,[1- 1- 0- 0- 0- 0- 2- 2],0-1-1-0-0-0-0-2-2,13538671879.311642
806,022202-0-1,[0- 2- 2- 2- 0- 2- 0- 1],1-0-1-1-1-0-1-0-1,13537606270.604473
807,202002-1-1,[2- 0- 2- 0- 0- 2- 1- 1],1-1-0-1-0-0-1-1-1,13535784206.987667
808,200020-2-1,[2- 0- 0- 0- 2- 0- 2- 1],1-1-0-0-0-1-0-2-1,13528213045.449306
809,202002-2-3,[2- 0- 2- 0- 0- 2- 2- 3],1-1-0-1-0-0-1-2-3,13527427855.773304
810,202220-3-2,[2- 0- 2- 2- 2- 0- 3- 2],1-1-0-1-1-1-0-3-2,13525815450.318138
811,033030-2-2,[0- 3- 3- 0- 3- 0- 2- 2],2-0-1-1-0-1-0-2-2,13521740929.881771
812,100101-2-1,[1- 0- 0- 1- 0- 1- 2- 1],0-1-0-0-1-0-1-2-1,13520820732.879757
813,101111-3-2,[1- 0- 1- 1- 1- 1- 3- 2],0-1-0-1-1-1-1-3-2,13519879164.771019
814,200200-2-2,[2- 0- 0- 2- 0- 0- 2- 2],1-1-0-0-1-0-0-2-2,13519176616.564447
815,030033-1-2,[0- 3- 0- 0- 3- 3- 1- 2],2-0-1-0-0-1-1-1-2,13519035466.450447
816,000333-1-2,[0- 0- 0- 3- 3- 3- 1- 2],2-0-0-0-1-1-1-1-2,13519001313.661419
817,333000-1-1,[3- 3- 3- 0- 0- 0- 1- 1],2-1-1-1-0-0-0-1-1,13515227090.168638
818,202220-3-3,[2- 0- 2- 2- 2- 0- 3- 3],1-1-0-1-1-1-0-3-3,13513077815.257795
819,220022-0-2,[2- 2- 0- 0- 2- 2- 0- 2],1-1-1-0-0-1-1-0-2,13512914383.46554
820,330333-1-0,[3- 3- 0- 3- 3- 3- 1- 0],2-1-1-0-1-1-1-1-0,13509531149.469143
821,011110-1-1,[0- 1- 1- 1- 1- 0- 1- 1],0-0-1-1-1-1-0-1-1,13505689803.208675
822,220000-2-1,[2- 2- 0- 0- 0- 0- 2- 1],1-1-1-0-0-0-0-2-1,13505664972.642956
823,000220-2-3,[0- 0- 0- 2- 2- 0- 2- 3],1-0-0-0-1-1-0-2-3,13504511911.926521
824,020020-2-1,[0- 2- 0- 0- 2- 0- 2- 1],1-0-1-0-0-1-0-2-1,13496458939.240017
825,011101-3-3,[0- 1- 1- 1- 0- 1- 3- 3],0-0-1-1-1-0-1-3-3,13495844261.470648
826,101111-3-3,[1- 0- 1- 1- 1- 1- 3- 3],0-1-0-1-1-1-1-3-3,13494696221.266142
827,002222-1-3,[0- 0- 2- 2- 2- 2- 1- 3],1-0-0-1-1-1-1-1-3,13494642622.27821
828,200022-3-0,[2- 0- 0- 0- 2- 2- 3- 0],1-1-0-0-0-1-1-3-0,13493360057.607695
829,003303-3-1,[0- 0- 3- 3- 0- 3- 3- 1],2-0-0-1-1-0-1-3-1,13492454796.320444
830,330300-2-1,[3- 3- 0- 3- 0- 0- 2- 1],2-1-1-0-1-0-0-2-1,13491866164.493893
831,101001-3-3,[1- 0- 1- 0- 0- 1- 3- 3],0-1-0-1-0-0-1-3-3,13490994387.937187
832,000330-2-2,[0- 0- 0- 3- 3- 0- 2- 2],2-0-0-0-1-1-0-2-2,13490619523.166237
833,033300-2-1,[0- 3- 3- 3- 0- 0- 2- 1],2-0-1-1-1-0-0-2-1,13489971408.258236
834,002220-2-3,[0- 0- 2- 2- 2- 0- 2- 3],1-0-0-1-1-1-0-2-3,13485864155.887363
835,022002-2-0,[0- 2- 2- 0- 0- 2- 2- 0],1-0-1-1-0-0-1-2-0,13484384595.36665
836,100010-2-3,[1- 0- 0- 0- 1- 0- 2- 3],0-1-0-0-0-1-0-2-3,13483658327.891218
837,100111-1-2,[1- 0- 0- 1- 1- 1- 1- 2],0-1-0-0-1-1-1-1-2,13478625296.10507
838,110110-2-3,[1- 1- 0- 1- 1- 0- 2- 3],0-1-1-0-1-1-0-2-3,13476014650.696852
839,000222-3-3,[0- 0- 0- 2- 2- 2- 3- 3],1-0-0-0-1-1-1-3-3,13473565259.872974
840,333330-1-2,[3- 3- 3- 3- 3- 0- 1- 2],2-1-1-1-1-1-0-1-2,13473195316.047512
841,330333-0-1,[3- 3- 0- 3- 3- 3- 0- 1],2-1-1-0-1-1-1-0-1,13471660195.641369
842,110100-2-1,[1- 1- 0- 1- 0- 0- 2- 1],0-1-1-0-1-0-0-2-1,13467947472.024578
